Unnamed: 0,Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
69,70.0,Alex Cejka,47.0,22.0,67.0,14.0,4.0,0.0,1566308.0,281.5,65.9,68.0,1.75,54.3,5.0,259.0,784.0,142.0
70,71.0,Kyle Reifers,34.0,34.0,111.0,23.0,4.0,0.0,1539578.0,287.3,65.3,67.6,1.76,56.5,12.0,389.0,1278.0,287.0
71,72.0,Jim Furyk,47.0,14.0,52.0,12.0,3.0,0.0,1538204.0,280.8,69.1,68.3,1.8,46.0,4.0,161.0,626.0,135.0
72,73.0,Patton Kizzire,32.0,27.0,89.0,20.0,5.0,0.0,1468624.0,291.3,55.2,64.5,1.76,45.0,5.0,322.0,993.0,247.0
73,74.0,Webb Simpson,32.0,20.0,70.0,15.0,2.0,0.0,1450355.0,286.3,62.2,67.1,1.78,53.4,8.0,254.0,792.0,183.0
74,75.0,Steve Stricker,51.0,15.0,53.0,11.0,3.0,0.0,1418648.0,278.0,63.2,63.0,1.73,54.3,4.0,189.0,628.0,122.0
75,76.0,Danny Lee,27.0,28.0,90.0,20.0,2.0,0.0,1405722.0,286.6,64.1,64.0,1.78,56.8,9.0,321.0,991.0,263.0
76,77.0,Jason Bohn,44.0,21.0,67.0,12.0,3.0,0.0,1369705.0,276.3,67.6,66.3,1.74,42.2,2.0,250.0,758.0,170.0
77,78.0,Freddie Jacobson,43.0,26.0,86.0,18.0,3.0,0.0,1354196.0,280.3,59.0,64.9,1.74,55.0,5.0,322.0,974.0,216.0
78,79.0,Bryce Molder,39.0,26.0,78.0,14.0,5.0,0.0,1353385.0,280.2,62.5,61.3,1.74,58.3,8.0,261.0,928.0,186.0
79,80.0,Jerry Kelly,51.0,23.0,76.0,15.0,2.0,0.0,1328657.0,278.2,71.2,66.7,1.79,53.9,11.0,242.0,922.0,170.0
80,81.0,K.J. Choi,47.0,22.0,73.0,14.0,2.0,0.0,1328448.0,275.3,66.2,65.4,1.77,56.3,5.0,251.0,855.0,181.0
81,82.0,"Harold Varner, III",27.0,28.0,92.0,18.0,4.0,0.0,1327320.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,10.0,326.0,1024.0,267.0
82,83.0,Brian Harman,31.0,31.0,104.0,21.0,2.0,0.0,1299802.0,289.7,63.4,64.9,1.76,55.3,7.0,380.0,1188.0,267.0
83,84.0,Peter Malnati,30.0,32.0,85.0,11.0,3.0,1.0,1298945.0,279.7,60.5,62.1,1.76,51.4,5.0,287.0,966.0,244.0
84,85.0,Patrick Rodgers,35.37433155080214,28.0,85.0,16.0,3.0,0.0,1290337.0,300.5,57.7,69.2,1.79,42.2,13.0,309.0,962.0,217.0
85,86.0,Byeong Hun An,26.0,14.0,43.0,10.0,2.0,0.0,1278797.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,3.0,161.0,462.0,125.0
86,87.0,Russell Henley,29.0,25.0,76.0,13.0,4.0,0.0,1228347.0,295.6,63.2,68.3,1.78,56.8,7.0,268.0,896.0,172.0
87,88.0,Martin Laird,35.0,24.0,78.0,16.0,2.0,0.0,1224680.0,298.5,55.1,67.7,1.78,50.9,3.0,289.0,890.0,199.0
88,89.0,David Hearn,38.0,29.0,95.0,19.0,2.0,0.0,1211514.0,281.2,65.9,68.3,1.76,53.7,10.0,331.0,1127.0,211.0
89,90.0,Vijay Singh,55.0,22.0,72.0,14.0,2.0,0.0,1210104.0,289.8,56.7,62.7,1.77,43.0,4.0,246.0,800.0,218.0
90,91.0,Ben Martin,30.0,28.0,88.0,17.0,1.0,0.0,1205731.0,288.8,62.1,66.7,1.76,41.7,16.0,325.0,963.0,241.0
91,92.0,Spencer Levin,33.0,32.0,100.0,19.0,2.0,0.0,1179882.0,281.3,67.8,66.3,1.75,46.4,8.0,348.0,1168.0,248.0
92,93.0,Chad Campbell,43.0,28.0,90.0,17.0,3.0,0.0,1168073.0,287.9,64.4,68.2,1.79,55.3,4.0,313.0,1072.0,215.0
